         130222 function calls (122138 primitive calls) in 0.077 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 caching.py:99(save_overload)
        1    0.000    0.000    0.000    0.000 callconv.py:104(init_call_helper)
        2    0.000    0.000    0.001    0.001 callconv.py:115(raise_error)
        1    0.000    0.000    0.000    0.000 callconv.py:145(decode_arguments)
       13    0.000    0.000    0.000    0.000 callconv.py:154(_get_arg_packer)
        1    0.000    0.000    0.000    0.000 callconv.py:341(_make_call_helper)
        1    0.000    0.000    0.000    0.000 callconv.py:344(return_value)
        1    0.000    0.000    0.000    0.000 callconv.py:351(set_static_user_exc)
        1    0.000    0.000    0.000    0.000 callconv.py:383(return_user_exc)
        3    0.000    0.000    0.000    0.000 callconv.py:397(_get_try_state)
        3    0.000    0.000    0.000    0.000 callconv.py:407(check_try_status)
        2    0.000    0.000    0.000    0.000 callconv.py:438(return_status_propagate)
        4    0.000    0.000    0.000    0.000 callconv.py:445(_return_errcode_raw)
        4    0.000    0.000    0.000    0.000 callconv.py:448(_get_return_status)
        5    0.000    0.000    0.000    0.000 callconv.py:472(get_function_type)
        3    0.000    0.000    0.000    0.000 callconv.py:484(decorate_function)
        3    0.000    0.000    0.000    0.000 callconv.py:490(<listcomp>)
        4    0.000    0.000    0.000    0.000 callconv.py:508(get_arguments)
        8    0.000    0.000    0.000    0.000 callconv.py:514(_get_return_argument)
        9    0.000    0.000    0.000    0.000 callconv.py:517(_get_excinfo_argument)
        4    0.000    0.000    0.001    0.000 callconv.py:520(call_function)
        1    0.000    0.000    0.000    0.000 callconv.py:548(__init__)
        1    0.000    0.000    0.000    0.000 callconv.py:588(create_error_model)
        5    0.000    0.000    0.000    0.000 callconv.py:97(get_return_type)
        1    0.000    0.000    0.002    0.002 callwrapper.py:101(build)
        1    0.000    0.000    0.000    0.000 callwrapper.py:11(__init__)
        1    0.000    0.000    0.002    0.002 callwrapper.py:126(build_wrapper)
        1    0.000    0.000    0.000    0.000 callwrapper.py:129(<listcomp>)
        1    0.000    0.000    0.000    0.000 callwrapper.py:183(get_env)
        1    0.000    0.000    0.000    0.000 callwrapper.py:197(_simplified_return_type)
        2    0.000    0.000    0.000    0.000 callwrapper.py:209(debug_print)
        1    0.000    0.000    0.000    0.000 callwrapper.py:66(emit_cleanup)
        1    0.000    0.000    0.000    0.000 callwrapper.py:92(__init__)
        8    0.000    0.000    0.000    0.000 cgutils.py:1100(normalize_ir_text)
        7    0.000    0.000    0.000    0.000 cgutils.py:124(_make_refs)
       20    0.000    0.000    0.000    0.000 cgutils.py:142(_get_ptr_by_index)
       11    0.000    0.000    0.000    0.000 cgutils.py:149(__getattr__)
       51    0.000    0.000    0.000    0.000 cgutils.py:158(__setattr__)
       11    0.000    0.000    0.000    0.000 cgutils.py:166(__getitem__)
        9    0.000    0.000    0.000    0.000 cgutils.py:173(__setitem__)
        3    0.000    0.000    0.000    0.000 cgutils.py:208(_getvalue)
        7    0.000    0.000    0.000    0.000 cgutils.py:228(_get_be_type)
       11    0.000    0.000    0.000    0.000 cgutils.py:231(_cast_member_to_value)
        9    0.000    0.000    0.000    0.000 cgutils.py:234(_cast_member_from_value)
        1    0.000    0.000    0.000    0.000 cgutils.py:261(__init__)
        7    0.000    0.000    0.000    0.000 cgutils.py:308(__setattr__)
       34    0.000    0.000    0.014    0.000 cgutils.py:362(alloca_once)
        9    0.000    0.000    0.000    0.000 cgutils.py:411(get_null_value)
        1    0.000    0.000    0.000    0.000 cgutils.py:415(is_null)
        2    0.000    0.000    0.000    0.000 cgutils.py:420(is_not_null)
        5    0.000    0.000    0.000    0.000 cgutils.py:425(if_unlikely)
        2    0.000    0.000    0.000    0.000 cgutils.py:429(if_likely)
        6    0.000    0.000    0.000    0.000 cgutils.py:44(make_bytearray)
        3    0.000    0.000    0.000    0.000 cgutils.py:56(create_struct_proxy)
        8    0.000    0.000    0.000    0.000 cgutils.py:841(is_pointer)
       20    0.000    0.000    0.000    0.000 cgutils.py:858(gep_inbounds)
       20    0.000    0.000    0.000    0.000 cgutils.py:865(gep)
        1    0.000    0.000    0.000    0.000 cgutils.py:884(pointer_add)
        7    0.000    0.000    0.000    0.000 cgutils.py:910(global_constant)
        7    0.000    0.000    0.001    0.000 cgutils.py:99(__init__)
        1    0.000    0.000    0.000    0.000 codecs.py:259(__init__)
        1    0.000    0.000    0.000    0.000 codecs.py:308(__init__)
        5    0.000    0.000    0.000    0.000 codecs.py:318(decode)
        1    0.000    0.000    0.000    0.000 codegen.py:108(codegen)
        5    0.000    0.000    0.000    0.000 codegen.py:118(_raise_if_finalized)
      8/5    0.000    0.000    0.007    0.001 codegen.py:123(_ensure_finalized)
        3    0.000    0.000    0.002    0.001 codegen.py:127(_optimize_functions)
        1    0.000    0.000    0.003    0.003 codegen.py:141(_optimize_final_module)
        3    0.000    0.000    0.000    0.000 codegen.py:148(_get_module_for_linking)
        1    0.000    0.000    0.000    0.000 codegen.py:183(create_ir_module)
        3    0.000    0.000    0.000    0.000 codegen.py:191(add_linking_library)
        3    0.000    0.000    0.007    0.002 codegen.py:199(add_ir_module)
        3    0.000    0.000    0.002    0.001 codegen.py:211(add_llvm_module)
        1    0.000    0.000    0.007    0.007 codegen.py:217(finalize)
        1    0.000    0.000    0.000    0.000 codegen.py:250(_finalize_dyanmic_globals)
        1    0.000    0.000    0.000    0.000 codegen.py:256(_verify_declare_only_symbols)
        1    0.000    0.000    0.003    0.003 codegen.py:264(_finalize_final_module)
        1    0.000    0.000    0.000    0.000 codegen.py:350(enable_object_caching)
        1    0.000    0.000    0.000    0.000 codegen.py:397(_object_compiled_hook)
        1    0.000    0.000    0.000    0.000 codegen.py:410(_object_getbuffer_hook)
        2    0.000    0.000    0.007    0.003 codegen.py:492(get_pointer_to_function)
        1    0.000    0.000    0.002    0.002 codegen.py:513(_finalize_specific)
        1    0.000    0.000    0.000    0.000 codegen.py:529(scan_unresolved_symbols)
        1    0.000    0.000    0.000    0.000 codegen.py:548(scan_defined_symbols)
        1    0.000    0.000    0.000    0.000 codegen.py:556(resolve)
        1    0.000    0.000    0.000    0.000 codegen.py:561(<listcomp>)
        4    0.000    0.000    0.002    0.001 codegen.py:575(wrapper)
        2    0.000    0.000    0.000    0.000 codegen.py:599(is_symbol_defined)
        1    0.000    0.000    0.000    0.000 codegen.py:604(_load_defined_symbols)
        2    0.000    0.000    0.000    0.000 codegen.py:608(<setcomp>)
        1    0.000    0.000    0.000    0.000 codegen.py:611(add_module)
        4    0.000    0.000    0.000    0.000 codegen.py:669(_create_empty_module)
        1    0.000    0.000    0.000    0.000 codegen.py:683(create_library)
        3    0.000    0.000    0.000    0.000 codegen.py:700(_function_pass_manager)
        3    0.000    0.000    0.000    0.000 codegen.py:707(_pass_manager_builder)
        1    0.000    0.000    0.000    0.000 codegen.py:720(_check_llvm_bugs)
        1    0.000    0.000    0.000    0.000 codegen.py:757(_scan_and_fix_unresolved_refs)
        1    0.000    0.000    0.000    0.000 codegen.py:848(_add_module)
        1    0.000    0.000    0.000    0.000 codegen.py:856(set_env)
        1    0.000    0.000    0.000    0.000 codegen.py:92(__init__)
        3    0.000    0.000    0.000    0.000 common.py:20(iterator_type)
      127    0.000    0.000    0.000    0.000 common.py:27(_is_shutting_down)
        4    0.000    0.000    0.000    0.000 common.py:31(yield_type)
       16    0.000    0.000    0.000    0.000 common.py:4(_encode_string)
       36    0.000    0.000    0.000    0.000 common.py:9(_decode_string)
        1    0.000    0.000    0.000    0.000 compiler.py:161(compile_result)
        1    0.000    0.000    0.000    0.000 compiler.py:221(__init__)
      357    0.000    0.000    0.000    0.000 compiler.py:248(__getattr__)
       32    0.000    0.000    0.000    0.000 compiler.py:254(__setattr__)
        1    0.000    0.000    0.000    0.000 compiler.py:258(_make_subtarget)
        1    0.000    0.000    0.000    0.000 compiler.py:284(__init__)
        1    0.000    0.000    0.076    0.076 compiler.py:326(compile_extra)
        1    0.000    0.000    0.076    0.076 compiler.py:356(_compile_core)
        1    0.000    0.000    0.076    0.076 compiler.py:396(_compile_bytecode)
        1    0.000    0.000    0.000    0.000 compiler.py:415(define_pipelines)
        1    0.000    0.000    0.000    0.000 compiler.py:439(define_nopython_pipeline)
        1    0.000    0.000    0.077    0.077 compiler.py:542(compile_extra)
       25    0.000    0.000    0.000    0.000 compiler_lock.py:10(acquire)
       25    0.000    0.000    0.000    0.000 compiler_lock.py:13(release)
       25    0.000    0.000    0.000    0.000 compiler_lock.py:16(__enter__)
       25    0.000    0.000    0.000    0.000 compiler_lock.py:19(__exit__)
        1    0.000    0.000    0.000    0.000 compiler_lock.py:22(is_locked)
     25/1    0.000    0.000    0.077    0.077 compiler_lock.py:29(_acquire_compile_lock)
        1    0.000    0.000    0.000    0.000 compiler_lock.py:49(require_global_compiler_lock)
        2    0.000    0.000    0.000    0.000 compiler_machinery.py:101(get_analysis)
       24    0.000    0.000    0.000    0.000 compiler_machinery.py:130(__init__)
       23    0.000    0.000    0.000    0.000 compiler_machinery.py:134(get_required_set)
        2    0.000    0.000    0.000    0.000 compiler_machinery.py:140(add_required)
        1    0.000    0.000    0.000    0.000 compiler_machinery.py:168(__init__)
       24    0.000    0.000    0.000    0.000 compiler_machinery.py:179(_validate_pass)
       24    0.000    0.000    0.000    0.000 compiler_machinery.py:192(add_pass)
       72    0.000    0.000    0.000    0.000 compiler_machinery.py:21(__enter__)
        1    0.000    0.000    0.000    0.000 compiler_machinery.py:218(_debug_init)
        3    0.000    0.000    0.000    0.000 compiler_machinery.py:220(parse)
        1    0.000    0.000    0.000    0.000 compiler_machinery.py:237(finalize)
        1    0.000    0.000    0.000    0.000 compiler_machinery.py:247(finalized)
