218108028.93219793
         329067 function calls (310694 primitive calls) in 0.734 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       30    0.000    0.000    0.000    0.000 _utils.py:64(set_metadata)
     1042    0.000    0.000    0.000    0.000 _utils.py:71(_stringify_metadata)
       30    0.000    0.000    0.000    0.000 _utils.py:76(<listcomp>)
      110    0.000    0.000    0.000    0.000 _utils.py:9(__init__)
        1    0.000    0.000    0.003    0.003 _validation.py:1(<module>)
        7    0.000    0.000    0.001    0.000 _version.py:114(_compare)
        2    0.000    0.000    0.001    0.000 _version.py:148(__gt__)
        5    0.000    0.000    0.000    0.000 _version.py:151(__ge__)
       14    0.000    0.000    0.001    0.000 _version.py:55(__init__)
       14    0.000    0.000    0.000    0.000 _version.py:62(<listcomp>)
        2    0.000    0.000    0.000    0.000 _version.py:70(<listcomp>)
        7    0.000    0.000    0.000    0.000 _version.py:78(_compare_version)
     1097    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
     1097    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
     1097    0.001    0.000    0.001    0.000 _weakrefset.py:26(__exit__)
        3    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
     1097    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
     1115    0.001    0.000    0.003    0.000 _weakrefset.py:58(__iter__)
     8310    0.002    0.000    0.002    0.000 _weakrefset.py:70(__contains__)
     1149    0.000    0.000    0.001    0.000 _weakrefset.py:81(add)
     2826    0.002    0.000    0.007    0.000 abc.py:180(__instancecheck__)
 1971/979    0.003    0.000    0.008    0.000 abc.py:196(__subclasscheck__)
       54    0.000    0.000    0.000    0.000 abc.py:243(get_cache_token)
      236    0.000    0.000    0.000    0.000 abstract.py:114(__repr__)
1804/1604    0.001    0.000    0.002    0.000 abstract.py:117(__hash__)
2630/2473    0.001    0.000    0.001    0.000 abstract.py:120(__eq__)
       64    0.000    0.000    0.000    0.000 abstract.py:123(__ne__)
       34    0.000    0.000    0.000    0.000 abstract.py:147(can_convert_from)
      161    0.000    0.000    0.000    0.000 abstract.py:154(is_precise)
        2    0.000    0.000    0.000    0.000 abstract.py:173(__call__)
      626    0.000    0.000    0.000    0.000 abstract.py:18(_autoincr)
        2    0.000    0.000    0.000    0.000 abstract.py:246(unify)
      145    0.000    0.000    0.000    0.000 abstract.py:26(_on_type_disposal)
        4    0.000    0.000    0.000    0.000 abstract.py:420(_literal_init)
